tornado
	2015-04-21 00:17:47So, you're celebrating Hitler's birthday and the Columbine Massacre with copious amounts of marijuana? Cool story, bro. (h/t @MarcACaputo)
	2015-04-21 00:17:26@MarkusKeepa yes because she is adorable!!!
	2015-04-21 00:17:19RT @MikeSadorf: "Hitler's birthday, the Columbine massacre, and this year, it's a Monday." - Garfield hates 420
missile
	2015-04-21 00:23:53And he still couldn't think his way out of a situation where the batteries in his missile jammer ran out without intervention from a dolphin
	2015-04-21 00:23:45RT @RT_com: S-400 missile defense strength doubled in Russia's far east http://t.co/mbFOuXPr5z http://t.co/hYoLqrzaCY
	2015-04-21 00:23:42RT @RT_com: S-400 missile defense strength doubled in Russia's far east http://t.co/mbFOuXPr5z http://t.co/hYoLqrzaCY
	2015-04-21 00:23:26Airstrikes on missile base in Sanaa kill at least 28: Saudi-led airstrikes on a missile depot in Yemen... http://t.co/9LGPx7JDo1 #Kabari
	2015-04-21 00:23:23RT @RT_com: S-400 missile defense strength doubled in Russia's far east http://t.co/mbFOuXPr5z http://t.co/hYoLqrzaCY
	2015-04-21 00:23:21Cool stuff. Military Weapon Tech.  http://t.co/RBgT17ISYm
	2015-04-21 00:23:18RT @CoolBoxArt: Missile Command / Atari 2600 / Atari / 1981 http://t.co/ek9HXWlMST
	2015-04-21 00:22:56RT @essapk: Saudi air strike on Houthi-controlled Scud missile depot in Sanaa, April 20, 2015. [2048x1365] http://t.co/OE97mw11dh
	2015-04-21 00:22:55RT @CoolBoxArt: Missile Command / Atari 2600 / Atari / 1981 http://t.co/ek9HXWlMST
